_sequence,phase,step,cycle,steer_center_trim_dc,steer_clamped_deg,steer_cycle,steer_dc_center,steer_phase,steer_post_sign_deg,steer_pre_sign_deg,steer_pwm_dc,steer_requested_deg,steer_steering_direction_sign,steer_steering_limit_deg,steer_step,steer__tag,steer__line_no,motor_cycle,motor_neutral_dc,motor_phase,motor_pwm_dc,motor_reverse_mode,motor_speed_pct,motor_step,motor__tag,motor__line_no,effective_front_clearance_m,front_clearance_fallback_used,front_clearance_m,front_min_m,heading_offset_deg,left_clearance_m,left_min_m,left_right_delta_m,right_clearance_m,right_min_m,scan_age_s,_tag,_line_no,active_heading_source,avoidance_heading_deg,centering_heading_deg,centering_weight,gap_heading_deg,speed_pct,steering_deg,steering_pre_servo_deg,target_heading_deg,pose_cycle,pose_distance_from_phase_start_m,pose_lateral_drift_m,pose_phase,pose_step,pose_x,pose_y,pose_yaw_change_deg,pose_yaw_deg,pose__tag,pose__line_no
20,nav_dryrun,dryrun,21,1.4,0.0,21,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,102,21,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,103,,,,,91,,,,,,,DIAG_NAV,105,,,,,,,,,,21,,,nav_dryrun,dryrun,,,,,DIAG_POSE,106
21,nav_dryrun,dryrun,22,1.4,0.0,22,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,107,22,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,108,,,,,91,,,,,,,DIAG_NAV,110,,,,,,,,,,22,,,nav_dryrun,dryrun,,,,,DIAG_POSE,111
22,nav_dryrun,dryrun,23,1.4,0.0,23,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,112,23,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,113,,,,,91,,,,,,,DIAG_NAV,115,,,,,,,,,,23,,,nav_dryrun,dryrun,,,,,DIAG_POSE,116
23,nav_dryrun,dryrun,24,1.4,0.0,24,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,117,24,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,118,,,,,91,,,,,,,DIAG_NAV,120,,,,,,,,,,24,,,nav_dryrun,dryrun,,,,,DIAG_POSE,121
24,nav_dryrun,dryrun,25,1.4,0.0,25,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,122,25,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,123,,,,,91,,,,,,,DIAG_NAV,125,,,,,,,,,,25,,,nav_dryrun,dryrun,,,,,DIAG_POSE,126
25,nav_dryrun,dryrun,26,1.4,0.0,26,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,127,26,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,128,,,,,91,,,,,,,DIAG_NAV,130,,,,,,,,,,26,,,nav_dryrun,dryrun,,,,,DIAG_POSE,131
26,nav_dryrun,dryrun,27,1.4,0.0,27,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,132,27,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,133,,,,,91,,,,,,,DIAG_NAV,135,,,,,,,,,,27,,,nav_dryrun,dryrun,,,,,DIAG_POSE,136
27,nav_dryrun,dryrun,28,1.4,0.0,28,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,137,28,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,138,,,,,91,,,,,,,DIAG_NAV,140,,,,,,,,,,28,,,nav_dryrun,dryrun,,,,,DIAG_POSE,141
28,nav_dryrun,dryrun,29,1.4,0.0,29,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,142,29,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,143,,,,,91,,,,,,,DIAG_NAV,145,,,,,,,,,,29,,,nav_dryrun,dryrun,,,,,DIAG_POSE,146
29,nav_dryrun,dryrun,30,1.4,0.0,30,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,147,30,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,148,,,,,91,,,,,,,DIAG_NAV,150,,,,,,,,,,30,,,nav_dryrun,dryrun,,,,,DIAG_POSE,151
30,nav_dryrun,dryrun,31,1.4,0.0,31,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,152,31,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,153,,,,,91,,,,,,,DIAG_NAV,155,,,,,,,,,,31,,,nav_dryrun,dryrun,,,,,DIAG_POSE,156
31,nav_dryrun,dryrun,32,1.4,0.0,32,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,157,32,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,158,,,,,91,,,,,,,DIAG_NAV,160,,,,,,,,,,32,,,nav_dryrun,dryrun,,,,,DIAG_POSE,161
32,nav_dryrun,dryrun,33,1.4,0.0,33,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,162,33,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,163,,,,,91,,,,,,,DIAG_NAV,165,,,,,,,,,,33,,,nav_dryrun,dryrun,,,,,DIAG_POSE,166
33,nav_dryrun,dryrun,34,1.4,0.0,34,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,167,34,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,168,,,,,91,,,,,,,DIAG_NAV,170,,,,,,,,,,34,,,nav_dryrun,dryrun,,,,,DIAG_POSE,171
34,nav_dryrun,dryrun,35,1.4,0.0,35,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,172,35,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,173,,,,,91,,,,,,,DIAG_NAV,175,,,,,,,,,,35,,,nav_dryrun,dryrun,,,,,DIAG_POSE,176
35,nav_dryrun,dryrun,36,1.4,0.0,36,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,177,36,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,178,,,,,91,,,,,,,DIAG_NAV,180,,,,,,,,,,36,,,nav_dryrun,dryrun,,,,,DIAG_POSE,181
36,nav_dryrun,dryrun,37,1.4,0.0,37,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,182,37,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,183,,,,,91,,,,,,,DIAG_NAV,185,,,,,,,,,,37,,,nav_dryrun,dryrun,,,,,DIAG_POSE,186
37,nav_dryrun,dryrun,38,1.4,0.0,38,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,187,38,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,188,,,,,91,,,,,,,DIAG_NAV,190,,,,,,,,,,38,,,nav_dryrun,dryrun,,,,,DIAG_POSE,191
38,nav_dryrun,dryrun,39,1.4,0.0,39,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,192,39,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,193,,,,,91,,,,,,,DIAG_NAV,195,,,,,,,,,,39,,,nav_dryrun,dryrun,,,,,DIAG_POSE,196
39,nav_dryrun,dryrun,40,1.4,0.0,40,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,197,40,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,198,,,,,91,,,,,,,DIAG_NAV,200,,,,,,,,,,40,,,nav_dryrun,dryrun,,,,,DIAG_POSE,201
40,nav_dryrun,dryrun,41,1.4,0.0,41,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,202,41,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,203,,,,,91,,,,,,,DIAG_NAV,205,,,,,,,,,,41,,,nav_dryrun,dryrun,,,,,DIAG_POSE,206
41,nav_dryrun,dryrun,42,1.4,0.0,42,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,207,42,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,208,,,,,91,,,,,,,DIAG_NAV,210,,,,,,,,,,42,,,nav_dryrun,dryrun,,,,,DIAG_POSE,211
42,nav_dryrun,dryrun,43,1.4,0.0,43,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,212,43,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,213,,,,,91,,,,,,,DIAG_NAV,215,,,,,,,,,,43,,,nav_dryrun,dryrun,,,,,DIAG_POSE,216
43,nav_dryrun,dryrun,44,1.4,0.0,44,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,217,44,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,218,0.55,True,0.0,,91,0.567089956998825,0.45229339599609375,0.37284546062971147,0.19424449636911353,0.12241965532302856,0.073206545,DIAG_NAV,220,avoidance,8.189508616924286,6.711218291334807,0.0,36.0,19.057001581630022,2.8663280159235,2.8663280159235,8.189508616924286,44,,,nav_dryrun,dryrun,,,,,DIAG_POSE,221
44,nav_dryrun,dryrun,45,1.4,0.0,45,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,222,45,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,223,0.55,True,0.0,,91,0.5688868062836784,0.4500841200351715,0.3703577434530064,0.19852906283067198,0.12211351096630096,0.025696004,DIAG_NAV,225,avoidance,8.197162225842476,6.666439382154116,0.0,36.0,19.055950370041487,2.8690067790448666,2.8690067790448666,8.197162225842476,45,,,nav_dryrun,dryrun,,,,,DIAG_POSE,226
45,nav_dryrun,dryrun,46,1.4,0.0,46,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,227,46,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,228,0.55,True,0.0,,91,0.5676698471818652,0.4533460736274719,0.3700210161659183,0.1976488310159469,0.12167154252529144,0.068642151,DIAG_NAV,230,avoidance,8.208211436867714,6.66037829098653,0.0,36.0,19.054432777648397,2.8728740029037,2.8728740029037,8.208211436867714,46,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,231
46,nav_dryrun,dryrun,47,1.4,0.0,47,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,232,47,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,233,0.55,True,0.0,,91,0.5719144344329834,0.4551054537296295,0.37887908766667044,0.19303534676631293,0.12246228009462357,0.042735504,DIAG_NAV,235,avoidance,8.18844299763441,6.819823578000068,0.0,36.0,19.057147942824912,2.865955049172044,2.865955049172044,8.18844299763441,47,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,236
47,nav_dryrun,dryrun,48,1.4,0.0,48,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,237,48,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,238,0.55,True,0.0,,91,0.5689216375350952,0.4529777467250824,0.3720456806372623,0.1968759568978329,0.12093334645032883,0.039991288,DIAG_NAV,240,avoidance,8.22666633874178,6.696822251470721,0.0,36.0,19.051898024837968,2.8793332185596228,2.8793332185596228,8.22666633874178,48,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,241
48,nav_dryrun,dryrun,49,1.4,0.0,49,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,242,49,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,243,0.55,True,0.0,,91,0.5710300420011792,0.4539932608604431,0.37439093267431056,0.19663910932686865,0.12144525349140167,0.029256789000000002,DIAG_NAV,245,avoidance,8.213868662714958,6.73903678813759,0.0,36.0,19.053655766249832,2.8748540319502354,2.8748540319502354,8.213868662714958,49,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,246
49,nav_dryrun,dryrun,50,1.4,0.0,50,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,247,50,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,248,0.55,True,0.0,,91,0.5792805693215795,0.4504152834415436,0.38688159511528086,0.1923989742062986,0.12178327888250351,0.060111771,DIAG_NAV,250,avoidance,8.205418027937412,6.9638687120750555,0.0,35.0,19.054816448132538,2.8718963097780943,2.8718963097780943,8.205418027937412,50,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,251
50,nav_dryrun,dryrun,51,1.4,0.0,51,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,252,51,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,253,0.55,True,0.0,,91,0.5790216417776214,0.45057541131973267,0.38746716356318855,0.1915544782144328,0.12154261022806168,0.058090702,DIAG_NAV,255,avoidance,8.211434744298458,6.974408944137394,0.0,35.0,19.053990061256584,2.8740021605044603,2.8740021605044603,8.211434744298458,51,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,256
51,nav_dryrun,dryrun,52,1.4,0.0,52,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,257,52,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,258,0.55,True,0.0,,91,0.5723335496016911,0.45162543654441833,0.37600914519660333,0.19632440440508783,0.12007983773946762,0.065409653,DIAG_NAV,260,avoidance,8.24800405651331,6.76816461353886,0.0,36.0,19.048967321631924,2.8868014197796583,2.8868014197796583,8.24800405651331,52,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,261
52,nav_dryrun,dryrun,53,1.4,0.0,53,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,262,53,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,263,0.55,True,0.0,,91,0.5703459058489119,0.4539564549922943,0.3797115176827426,0.19063438816616932,0.12121006101369858,0.0016304330000000001,DIAG_NAV,265,avoidance,8.219748474657536,6.834807318289366,0.0,36.0,19.052848182988328,2.8769119661301374,2.8769119661301374,8.219748474657536,53,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,266
53,nav_dryrun,dryrun,54,1.4,0.0,54,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,267,54,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,268,0.55,True,0.0,,91,0.5617089823764914,0.4525022506713867,0.3651364783511586,0.19657250402533277,0.12074531614780426,0.02417566,DIAG_NAV,270,avoidance,8.231367096304893,6.572456610320854,0.0,37.0,19.051252382909034,2.8809784837067127,2.8809784837067127,8.231367096304893,54,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,271
54,nav_dryrun,dryrun,55,1.4,0.0,55,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,272,55,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,273,0.55,True,0.0,,91,0.5776680873499976,0.45281192660331726,0.38105370528370885,0.19661438206628878,0.12097979336977005,0.023273054,DIAG_NAV,275,avoidance,8.225505165755749,6.858966695106759,0.0,35.0,19.052057510188245,2.878926808014512,2.878926808014512,8.225505165755749,55,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,276
55,nav_dryrun,dryrun,56,1.4,0.0,56,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,277,56,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,278,0.55,True,0.0,,91,0.5792609767781364,0.4585435390472412,0.38220418668658285,0.19705679009155352,0.12139952182769775,0.045911312,DIAG_NAV,280,avoidance,8.215011954307556,6.879675360358491,0.0,35.0,19.05349873688185,2.8752541840076447,2.8752541840076447,8.215011954307556,56,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,281
56,nav_dryrun,dryrun,57,1.4,0.0,57,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,282,57,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,283,0.55,True,0.0,,91,0.57860643002722,0.4553731381893158,0.3813621348230477,0.19724429520417233,0.12122108787298203,0.06941024800000001,DIAG_NAV,285,avoidance,8.21947280317545,6.8645184268148585,0.0,35.0,19.052886046048705,2.8768154811114073,2.8768154811114073,8.21947280317545,57,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,286
57,nav_dryrun,dryrun,58,1.4,0.0,58,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,287,58,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,288,0.55,True,0.0,,91,0.5645969220820595,0.45555543899536133,0.3746369126636315,0.18996000941842794,0.12040918320417404,0.015302012,DIAG_NAV,290,avoidance,8.239770419895649,6.7434644279453675,0.0,37.0,19.050098199146152,2.883919646963477,2.883919646963477,8.239770419895649,58,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,291
58,nav_dryrun,dryrun,59,1.4,0.0,59,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,292,59,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,293,0.55,True,0.0,,91,0.5740855830056327,0.45677170157432556,0.3783188024041605,0.19576678060147226,0.11987578123807907,0.038903,DIAG_NAV,295,avoidance,8.253105469048023,6.809738443274889,0.0,36.0,19.048266650349692,2.888586914166808,2.888586914166808,8.253105469048023,59,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,296
