_sequence,phase,step,cycle,steer_center_trim_dc,steer_clamped_deg,steer_cycle,steer_dc_center,steer_phase,steer_post_sign_deg,steer_pre_sign_deg,steer_pwm_dc,steer_requested_deg,steer_steering_direction_sign,steer_steering_limit_deg,steer_step,steer__tag,steer__line_no,motor_cycle,motor_neutral_dc,motor_phase,motor_pwm_dc,motor_reverse_mode,motor_speed_pct,motor_step,motor__tag,motor__line_no,effective_front_clearance_m,front_clearance_fallback_used,front_clearance_m,front_left_clearance_m,front_min_m,front_right_clearance_m,heading_offset_deg,left_clearance_m,left_min_m,left_right_delta_m,right_clearance_m,right_min_m,scan_age_s,_tag,_line_no,active_heading_source,avoidance_heading_deg,centering_heading_deg,centering_weight,front_turn_heading_deg,gap_heading_deg,speed_pct,steering_deg,steering_pre_servo_deg,target_heading_deg,pose_cycle,pose_distance_from_phase_start_m,pose_lateral_drift_m,pose_phase,pose_step,pose_x,pose_y,pose_yaw_change_deg,pose_yaw_deg,pose__tag,pose__line_no
16,recon_debug,idle,17,1.4,-0.0,17,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,82,17,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,83,,,,,,,91,,,,,,,DIAG_NAV,85,,,,,,,,,,,17,,,recon_debug,idle,,,,,DIAG_POSE,86
17,recon_debug,idle,18,1.4,-0.0,18,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,87,18,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,88,,,,,,,91,,,,,,,DIAG_NAV,90,,,,,,,,,,,18,,,recon_debug,idle,,,,,DIAG_POSE,91
18,recon_debug,idle,19,1.4,-0.0,19,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,92,19,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,93,,,,,,,91,,,,,,,DIAG_NAV,95,,,,,,,,,,,19,,,recon_debug,idle,,,,,DIAG_POSE,96
19,recon_debug,idle,20,1.4,-0.0,20,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,97,20,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,98,,,,,,,91,,,,,,,DIAG_NAV,100,,,,,,,,,,,20,,,recon_debug,idle,,,,,DIAG_POSE,101
20,recon_debug,idle,21,1.4,-0.0,21,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,102,21,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,103,,,,,,,91,,,,,,,DIAG_NAV,105,,,,,,,,,,,21,,,recon_debug,idle,,,,,DIAG_POSE,106
21,recon_debug,idle,22,1.4,-0.0,22,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,107,22,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,108,,,,,,,91,,,,,,,DIAG_NAV,110,,,,,,,,,,,22,,,recon_debug,idle,,,,,DIAG_POSE,111
22,recon_debug,idle,23,1.4,-0.0,23,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,112,23,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,113,,,,,,,91,,,,,,,DIAG_NAV,115,,,,,,,,,,,23,,,recon_debug,idle,,,,,DIAG_POSE,116
23,recon_debug,idle,24,1.4,-0.0,24,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,117,24,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,118,,,,,,,91,,,,,,,DIAG_NAV,120,,,,,,,,,,,24,,,recon_debug,idle,,,,,DIAG_POSE,121
24,recon_debug,idle,25,1.4,-0.0,25,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,122,25,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,123,,,,,,,91,,,,,,,DIAG_NAV,125,,,,,,,,,,,25,,,recon_debug,idle,,,,,DIAG_POSE,126
25,recon_debug,idle,26,1.4,-0.0,26,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,127,26,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,128,,,,,,,91,,,,,,,DIAG_NAV,130,,,,,,,,,,,26,,,recon_debug,idle,,,,,DIAG_POSE,131
26,recon_debug,idle,27,1.4,-0.0,27,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,132,27,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,133,,,,,,,91,,,,,,,DIAG_NAV,135,,,,,,,,,,,27,,,recon_debug,idle,,,,,DIAG_POSE,136
27,recon_debug,idle,28,1.4,-0.0,28,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,137,28,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,138,,,,,,,91,,,,,,,DIAG_NAV,140,,,,,,,,,,,28,,,recon_debug,idle,,,,,DIAG_POSE,141
28,recon_debug,idle,29,1.4,-0.0,29,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,142,29,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,143,,,,,,,91,,,,,,,DIAG_NAV,145,,,,,,,,,,,29,,,recon_debug,idle,,,,,DIAG_POSE,146
29,recon_debug,idle,30,1.4,-0.0,30,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,147,30,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,148,,,,,,,91,,,,,,,DIAG_NAV,150,,,,,,,,,,,30,,,recon_debug,idle,,,,,DIAG_POSE,151
30,recon_debug,idle,31,1.4,-0.0,31,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,152,31,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,153,,,,,,,91,,,,,,,DIAG_NAV,155,,,,,,,,,,,31,,,recon_debug,idle,,,,,DIAG_POSE,156
31,recon_debug,idle,32,1.4,-0.0,32,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,157,32,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,158,,,,,,,91,,,,,,,DIAG_NAV,160,,,,,,,,,,,32,,,recon_debug,idle,,,,,DIAG_POSE,161
32,recon_debug,idle,33,1.4,-0.0,33,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,162,33,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,163,,,,,,,91,,,,,,,DIAG_NAV,165,,,,,,,,,,,33,,,recon_debug,idle,,,,,DIAG_POSE,166
33,recon_debug,idle,34,1.4,-0.0,34,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,167,34,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,168,,,,,,,91,,,,,,,DIAG_NAV,170,,,,,,,,,,,34,,,recon_debug,idle,,,,,DIAG_POSE,171
34,recon_debug,idle,35,1.4,-0.0,35,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,172,35,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,173,,,,,,,91,,,,,,,DIAG_NAV,175,,,,,,,,,,,35,,,recon_debug,idle,,,,,DIAG_POSE,176
35,recon_debug,idle,36,1.4,-0.0,36,8.2,recon_debug,-0.0,0.0,8.2,0.0,-1.0,18.0,idle,DIAG_STEER,177,36,7.5,recon_debug,7.5,False,0.0,idle,DIAG_MOTOR,178,,,,,,,91,,,,,,,DIAG_NAV,180,,,,,,,,,,,36,,,recon_debug,idle,,,,,DIAG_POSE,181
36,recon_debug,autonomous,37,1.4,-12.6,37,8.2,recon_debug,-12.6,12.6,6.9399999999999995,12.6,-1.0,18.0,autonomous,DIAG_STEER,182,37,7.5,recon_debug,7.880931818181818,False,15.237272727272728,autonomous,DIAG_MOTOR,183,0.55,True,0.0,0.7707692831754684,,0.0,91,0.6851037059511457,0.5245447158813477,0.6851037059511457,0.0,0.0,0.031193561,DIAG_NAV,185,gap,0.0,0.0,0.0,0.0,36.0,15.237272727272728,12.6,12.6,36.0,37,,,recon_debug,autonomous,,,,,DIAG_POSE,186
37,recon_debug,autonomous,38,1.4,-12.6,38,8.2,recon_debug,-12.6,12.6,6.9399999999999995,12.6,-1.0,18.0,autonomous,DIAG_STEER,187,38,7.5,recon_debug,7.880931818181818,False,15.237272727272728,autonomous,DIAG_MOTOR,188,0.55,True,0.0,0.7707692831754684,,0.0,91,0.6851037059511457,0.5245447158813477,0.6851037059511457,0.0,0.0,0.131197359,DIAG_NAV,190,gap,0.0,0.0,0.0,0.0,36.0,15.237272727272728,12.6,12.6,36.0,38,,,recon_debug,autonomous,,,,,DIAG_POSE,191
38,recon_debug,autonomous,39,1.4,-3.3852895088493824,39,8.2,recon_debug,-3.3852895088493824,3.3852895088493824,7.861471049115061,3.3852895088493824,-1.0,18.0,autonomous,DIAG_STEER,192,39,7.5,recon_debug,7.97133371277303,False,18.85334851092123,autonomous,DIAG_MOTOR,193,0.55,True,0.0,0.7720262050628662,,0.11973940668737187,91,0.6862321887697492,0.5272725224494934,0.5835717795758831,0.10266040919386611,0.06310977041721344,0.06972125600000001,DIAG_NAV,195,avoidance,9.672255739569664,10.504292032365896,0.0,22.8300379431423,36.0,18.85334851092123,3.3852895088493824,3.3852895088493824,9.672255739569664,39,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,196
39,recon_debug,autonomous,40,1.4,-3.383822023868561,40,8.2,recon_debug,-3.383822023868561,3.383822023868561,7.861617797613143,3.383822023868561,-1.0,18.0,autonomous,DIAG_STEER,197,40,7.5,recon_debug,7.971348109690077,False,18.853924387603097,autonomous,DIAG_MOTOR,198,0.55,True,0.0,0.7937355694316682,,0.11961267472190015,91,0.7020992868476443,0.5249174237251282,0.5995730931729145,0.1025261936747298,0.0632774829864502,0.051956921,DIAG_NAV,200,avoidance,9.668062925338745,10.79231567711246,0.0,23.594301314841882,35.0,18.853924387603097,3.383822023868561,3.383822023868561,9.668062925338745,40,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,201
40,recon_debug,autonomous,41,1.4,-3.3850467316806316,41,8.2,recon_debug,-3.3850467316806316,3.3850467316806316,7.861495326831936,3.3850467316806316,-1.0,18.0,autonomous,DIAG_STEER,202,41,7.5,recon_debug,7.971336094564194,False,18.85344378256775,autonomous,DIAG_MOTOR,203,0.55,True,0.0,0.7789125442504883,,0.11960638073437355,91,0.6907369579587664,0.5271230340003967,0.5881816583628557,0.10255529959591067,0.06313751637935638,0.02434477,DIAG_NAV,205,avoidance,9.67156209051609,10.587269850531403,0.0,23.075715723064015,36.0,18.85344378256775,3.3850467316806316,3.3850467316806316,9.67156209051609,41,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,206
41,recon_debug,autonomous,42,1.4,-3.3767305705696344,42,8.2,recon_debug,-3.3767305705696344,3.3767305705696344,7.862326942943036,3.3767305705696344,-1.0,18.0,autonomous,DIAG_STEER,207,42,7.5,recon_debug,7.97141768114479,False,18.856707245791615,autonomous,DIAG_MOTOR,208,0.55,True,0.0,0.7987696613584246,,0.11908872819998685,91,0.704404816031456,0.5303488373756409,0.6020086532344624,0.10239616279699365,0.06408793479204178,0.023141652000000002,DIAG_NAV,210,avoidance,9.647801630198956,10.836155758220324,0.0,23.788832660545324,35.0,18.856707245791615,3.3767305705696344,3.3767305705696344,9.647801630198956,42,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,211
42,recon_debug,autonomous,43,1.4,-3.3669436648488045,43,8.2,recon_debug,-3.3669436648488045,3.3669436648488045,7.863305633515119,3.3669436648488045,-1.0,18.0,autonomous,DIAG_STEER,212,43,7.5,recon_debug,7.971513696621369,False,18.860547864854787,autonomous,DIAG_MOTOR,213,0.55,True,0.0,0.7995408120609465,,0.1264361213360514,91,0.7050590349568261,0.5268629193305969,0.5968176944388284,0.10824134051799775,0.06520643830299377,0.019951862,DIAG_NAV,215,avoidance,9.619839042425156,10.74271849989891,0.0,23.558664175371327,35.0,18.860547864854787,3.3669436648488045,3.3669436648488045,9.619839042425156,43,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,216
43,recon_debug,autonomous,44,1.4,-3.340854963287711,44,8.2,recon_debug,-3.340854963287711,3.340854963287711,7.865914503671228,3.340854963287711,-1.0,18.0,autonomous,DIAG_STEER,217,44,7.5,recon_debug,7.971769642595018,False,18.870785703800735,autonomous,DIAG_MOTOR,218,0.55,True,0.0,0.7850648760795593,,0.13218730543222693,91,0.6949123195239476,0.5239202976226807,0.5814047306734307,0.1135075888505169,0.06818800419569016,0.017672111,DIAG_NAV,220,avoidance,9.545299895107746,10.465285152121751,0.0,22.850714972656636,36.0,18.870785703800735,3.340854963287711,3.340854963287711,9.545299895107746,44,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,221
44,recon_debug,autonomous,45,1.4,-3.32352801412344,45,8.2,recon_debug,-3.32352801412344,3.32352801412344,7.8676471985876555,3.32352801412344,-1.0,18.0,autonomous,DIAG_STEER,222,45,7.5,recon_debug,7.971939630467501,False,18.877585218700045,autonomous,DIAG_MOTOR,223,0.55,True,0.0,0.7846656411886215,,0.13386783065895239,91,0.6930327926363263,0.5225095748901367,0.5775873441489137,0.1154454484874127,0.07016822695732117,0.014050979000000002,DIAG_NAV,225,avoidance,9.49579432606697,10.396572194680445,0.0,22.77792336853842,36.0,18.877585218700045,3.32352801412344,3.32352801412344,9.49579432606697,45,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,226
45,recon_debug,autonomous,46,1.4,-3.285054026171565,46,8.2,recon_debug,-3.285054026171565,3.285054026171565,7.871494597382843,3.285054026171565,-1.0,18.0,autonomous,DIAG_STEER,227,46,7.5,recon_debug,7.972317083606877,False,18.8926833442751,autonomous,DIAG_MOTOR,228,0.55,True,0.0,0.7996626734733582,,0.13464254715612956,91,0.700886743409293,0.5245080590248108,0.5841487533279828,0.11673799008131028,0.07456525415182114,0.038863629000000004,DIAG_NAV,230,avoidance,9.385868646204472,10.51467755990369,0.0,23.275704421103,36.0,18.8926833442751,3.285054026171565,3.285054026171565,9.385868646204472,46,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,231
46,recon_debug,autonomous,47,1.4,-3.251324297860265,47,8.2,recon_debug,-3.251324297860265,3.251324297860265,7.874867570213973,3.251324297860265,-1.0,18.0,autonomous,DIAG_STEER,232,47,7.5,recon_debug,7.972647992683871,False,18.905919707354837,autonomous,DIAG_MOTOR,233,0.55,True,0.0,0.792096546292305,,0.13621801712683268,91,0.6979951109204974,0.5249664187431335,0.5789509684060301,0.11904414251446724,0.07842008024454117,0.061477079000000004,DIAG_NAV,235,avoidance,9.28949799388647,10.421117431308542,0.0,22.95574852079153,36.0,18.905919707354837,3.251324297860265,3.251324297860265,9.28949799388647,47,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,236
47,recon_debug,autonomous,48,1.4,-3.213216757401824,48,8.2,recon_debug,-3.213216757401824,3.213216757401824,7.878678324259817,3.213216757401824,-1.0,18.0,autonomous,DIAG_STEER,237,48,7.5,recon_debug,7.973021850751247,False,18.92087403004989,autonomous,DIAG_MOTOR,238,0.55,True,0.0,0.803698205947876,,0.14181788499866213,91,0.7028192860739572,0.5152119994163513,0.5785552450375897,0.12426404103636741,0.08277522772550583,0.059895620000000004,DIAG_NAV,240,avoidance,9.180619306862354,10.413994410676615,0.0,23.165811233222485,36.0,18.92087403004989,3.213216757401824,3.213216757401824,9.180619306862354,48,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,241
48,recon_debug,autonomous,49,1.4,-3.1710176654160023,49,8.2,recon_debug,-3.1710176654160023,3.1710176654160023,7.882898233458399,3.1710176654160023,-1.0,18.0,autonomous,DIAG_STEER,242,49,7.5,recon_debug,7.973435849418835,False,18.937433976753418,autonomous,DIAG_MOTOR,243,0.55,True,0.0,0.790745386951848,,0.14639331357819693,91,0.6915916309637182,0.5168773531913757,0.5626034102720373,0.12898822069168092,0.08759798109531403,0.022718882000000003,DIAG_NAV,245,avoidance,9.06005047261715,10.12686138489667,0.0,22.552322568077788,37.0,18.937433976753418,3.1710176654160023,3.1710176654160023,9.06005047261715,49,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,246
49,recon_debug,autonomous,50,1.4,-3.0502544082701206,50,8.2,recon_debug,-3.0502544082701206,3.0502544082701206,7.894974559172987,3.0502544082701206,-1.0,18.0,autonomous,DIAG_STEER,247,50,7.5,recon_debug,7.974620610161289,False,18.984824406451576,autonomous,DIAG_MOTOR,248,0.55,True,0.0,0.8171844363212586,,0.16155966754470552,91,0.7083187120301383,0.5102419257164001,0.5640542559964317,0.14426445603370666,0.1013994961977005,0.004353461,DIAG_NAV,250,avoidance,8.715012595057487,10.15297660793577,0.0,22.946866907179356,36.0,18.984824406451576,3.0502544082701206,3.0502544082701206,8.715012595057487,50,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,251
50,recon_debug,autonomous,51,1.4,-2.9887247383594513,51,8.2,recon_debug,-2.9887247383594513,2.9887247383594513,7.901127526164054,2.9887247383594513,-1.0,18.0,autonomous,DIAG_STEER,252,51,7.5,recon_debug,7.975224253513822,False,19.008970140552883,autonomous,DIAG_MOTOR,253,0.55,True,0.0,0.8152152210474014,,0.16745272683245796,91,0.70582161290305,0.5038245916366577,0.5555088390197073,0.15031277388334274,0.10843145847320557,0.026119619,DIAG_NAV,255,avoidance,8.53921353816986,9.999159102354731,0.0,22.67168729752302,36.0,19.008970140552883,2.9887247383594513,2.9887247383594513,8.53921353816986,51,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,256
51,recon_debug,autonomous,52,1.4,-2.927150020375848,52,8.2,recon_debug,-2.927150020375848,2.927150020375848,7.907284997962415,2.927150020375848,-1.0,18.0,autonomous,DIAG_STEER,257,52,7.5,recon_debug,7.975828338815252,False,19.033133552610085,autonomous,DIAG_MOTOR,258,0.55,True,0.0,0.8290252357721328,,0.17439236917666026,91,0.7101734280586243,0.4905242323875427,0.5529114834964275,0.15726194456219672,0.1154685690999031,0.04883126,DIAG_NAV,260,avoidance,8.363285772502422,9.952406702935695,0.0,22.91215033084154,36.0,19.033133552610085,2.927150020375848,2.927150020375848,8.363285772502422,52,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,261
52,recon_debug,autonomous,53,1.4,-2.8315542936325073,53,8.2,recon_debug,-2.8315542936325073,2.8315542936325073,7.916844570636749,2.8315542936325073,-1.0,18.0,autonomous,DIAG_STEER,262,53,7.5,recon_debug,7.976766190831408,False,19.070647633256335,autonomous,DIAG_MOTOR,263,0.55,True,0.0,0.8478020968891326,,0.18466936605317252,91,0.7234038826492097,0.48496174812316895,0.5556381407048967,0.16776574194431304,0.12639379501342773,0.071523695,DIAG_NAV,265,avoidance,8.090155124664307,10.00148653268814,0.0,23.209645579258602,35.0,19.070647633256335,2.8315542936325073,2.8315542936325073,8.090155124664307,53,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,266
53,recon_debug,autonomous,54,1.4,-2.7347846440970898,54,8.2,recon_debug,-2.7347846440970898,2.7347846440970898,7.9265215355902905,2.7347846440970898,-1.0,18.0,autonomous,DIAG_STEER,267,54,7.5,recon_debug,7.977715559741624,False,19.10862238966493,autonomous,DIAG_MOTOR,268,0.55,True,0.0,0.8430887120110648,,0.19117543145137675,91,0.7180526504913965,0.48115426301956177,0.5426542116265718,0.17539843886482473,0.13745318353176117,0.026431996000000003,DIAG_NAV,270,avoidance,7.813670411705971,9.767775809278293,0.0,22.816964819589085,35.0,19.10862238966493,2.7347846440970898,2.7347846440970898,7.813670411705971,54,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,271
54,recon_debug,autonomous,55,1.4,-2.566263649612665,55,8.2,recon_debug,-2.566263649612665,2.566263649612665,7.943373635038733,2.566263649612665,-1.0,18.0,autonomous,DIAG_STEER,272,55,7.5,recon_debug,7.979368852831452,False,19.174754113258064,autonomous,DIAG_MOTOR,273,0.55,True,0.0,0.8266964733600617,,0.21214517381261377,91,0.6986918679305485,0.4685409665107727,0.5028203879692116,0.1958714799613369,0.15671272575855255,0.016392749,DIAG_NAV,275,avoidance,7.332181856036186,9.050766983445808,0.0,21.509295484160678,36.0,19.174754113258064,2.566263649612665,2.566263649612665,7.332181856036186,55,0.0,0.0,recon_debug,autonomous,0.0,0.0,0.0,0.0,DIAG_POSE,276
