_sequence,phase,step,cycle,steer_center_trim_dc,steer_clamped_deg,steer_cycle,steer_dc_center,steer_phase,steer_post_sign_deg,steer_pre_sign_deg,steer_pwm_dc,steer_requested_deg,steer_steering_direction_sign,steer_steering_limit_deg,steer_step,steer__tag,steer__line_no,motor_cycle,motor_neutral_dc,motor_phase,motor_pwm_dc,motor_reverse_mode,motor_speed_pct,motor_step,motor__tag,motor__line_no,effective_front_clearance_m,front_clearance_fallback_used,front_clearance_m,front_min_m,heading_offset_deg,left_clearance_m,left_min_m,left_right_delta_m,right_clearance_m,right_min_m,scan_age_s,_tag,_line_no,active_heading_source,avoidance_heading_deg,centering_heading_deg,centering_weight,gap_heading_deg,speed_pct,steering_deg,steering_pre_servo_deg,target_heading_deg,pose_cycle,pose_distance_from_phase_start_m,pose_lateral_drift_m,pose_phase,pose_step,pose_x,pose_y,pose_yaw_change_deg,pose_yaw_deg,pose__tag,pose__line_no
20,nav_dryrun,dryrun,21,1.4,0.0,21,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,102,21,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,103,,,,,91,,,,,,,DIAG_NAV,105,,,,,,,,,,21,,,nav_dryrun,dryrun,,,,,DIAG_POSE,106
21,nav_dryrun,dryrun,22,1.4,0.0,22,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,107,22,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,108,,,,,91,,,,,,,DIAG_NAV,110,,,,,,,,,,22,,,nav_dryrun,dryrun,,,,,DIAG_POSE,111
22,nav_dryrun,dryrun,23,1.4,0.0,23,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,112,23,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,113,,,,,91,,,,,,,DIAG_NAV,115,,,,,,,,,,23,,,nav_dryrun,dryrun,,,,,DIAG_POSE,116
23,nav_dryrun,dryrun,24,1.4,0.0,24,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,117,24,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,118,,,,,91,,,,,,,DIAG_NAV,120,,,,,,,,,,24,,,nav_dryrun,dryrun,,,,,DIAG_POSE,121
24,nav_dryrun,dryrun,25,1.4,0.0,25,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,122,25,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,123,,,,,91,,,,,,,DIAG_NAV,125,,,,,,,,,,25,,,nav_dryrun,dryrun,,,,,DIAG_POSE,126
25,nav_dryrun,dryrun,26,1.4,0.0,26,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,127,26,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,128,,,,,91,,,,,,,DIAG_NAV,130,,,,,,,,,,26,,,nav_dryrun,dryrun,,,,,DIAG_POSE,131
26,nav_dryrun,dryrun,27,1.4,0.0,27,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,132,27,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,133,,,,,91,,,,,,,DIAG_NAV,135,,,,,,,,,,27,,,nav_dryrun,dryrun,,,,,DIAG_POSE,136
27,nav_dryrun,dryrun,28,1.4,0.0,28,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,137,28,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,138,,,,,91,,,,,,,DIAG_NAV,140,,,,,,,,,,28,,,nav_dryrun,dryrun,,,,,DIAG_POSE,141
28,nav_dryrun,dryrun,29,1.4,0.0,29,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,142,29,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,143,,,,,91,,,,,,,DIAG_NAV,145,,,,,,,,,,29,,,nav_dryrun,dryrun,,,,,DIAG_POSE,146
29,nav_dryrun,dryrun,30,1.4,0.0,30,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,147,30,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,148,,,,,91,,,,,,,DIAG_NAV,150,,,,,,,,,,30,,,nav_dryrun,dryrun,,,,,DIAG_POSE,151
30,nav_dryrun,dryrun,31,1.4,0.0,31,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,152,31,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,153,,,,,91,,,,,,,DIAG_NAV,155,,,,,,,,,,31,,,nav_dryrun,dryrun,,,,,DIAG_POSE,156
31,nav_dryrun,dryrun,32,1.4,0.0,32,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,157,32,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,158,,,,,91,,,,,,,DIAG_NAV,160,,,,,,,,,,32,,,nav_dryrun,dryrun,,,,,DIAG_POSE,161
32,nav_dryrun,dryrun,33,1.4,0.0,33,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,162,33,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,163,,,,,91,,,,,,,DIAG_NAV,165,,,,,,,,,,33,,,nav_dryrun,dryrun,,,,,DIAG_POSE,166
33,nav_dryrun,dryrun,34,1.4,0.0,34,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,167,34,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,168,,,,,91,,,,,,,DIAG_NAV,170,,,,,,,,,,34,,,nav_dryrun,dryrun,,,,,DIAG_POSE,171
34,nav_dryrun,dryrun,35,1.4,0.0,35,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,172,35,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,173,,,,,91,,,,,,,DIAG_NAV,175,,,,,,,,,,35,,,nav_dryrun,dryrun,,,,,DIAG_POSE,176
35,nav_dryrun,dryrun,36,1.4,0.0,36,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,177,36,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,178,,,,,91,,,,,,,DIAG_NAV,180,,,,,,,,,,36,,,nav_dryrun,dryrun,,,,,DIAG_POSE,181
36,nav_dryrun,dryrun,37,1.4,0.0,37,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,182,37,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,183,,,,,91,,,,,,,DIAG_NAV,185,,,,,,,,,,37,,,nav_dryrun,dryrun,,,,,DIAG_POSE,186
37,nav_dryrun,dryrun,38,1.4,0.0,38,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,187,38,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,188,,,,,91,,,,,,,DIAG_NAV,190,,,,,,,,,,38,,,nav_dryrun,dryrun,,,,,DIAG_POSE,191
38,nav_dryrun,dryrun,39,1.4,0.0,39,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,192,39,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,193,,,,,91,,,,,,,DIAG_NAV,195,,,,,,,,,,39,,,nav_dryrun,dryrun,,,,,DIAG_POSE,196
39,nav_dryrun,dryrun,40,1.4,0.0,40,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,197,40,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,198,0.55,True,0.0,,91,0.5404514517102923,0.45293986797332764,0.5404514517102923,0.0,0.0,0.067843527,DIAG_NAV,200,gap,0.0,0.0,0.0,36.0,15.237272727272728,12.6,12.6,36.0,40,,,nav_dryrun,dryrun,,,,,DIAG_POSE,201
40,nav_dryrun,dryrun,41,1.4,0.0,41,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,202,41,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,203,0.55,True,0.0,,91,0.5506368668542968,0.4532714784145355,0.35547144954196286,0.19516541731233397,0.11322301626205444,0.025156114,DIAG_NAV,205,avoidance,8.419424593448639,6.3984860917553315,0.0,35.0,19.02542297061194,2.9467986077070236,2.9467986077070236,8.419424593448639,41,,,nav_dryrun,dryrun,,,,,DIAG_POSE,206
41,nav_dryrun,dryrun,42,1.4,0.0,42,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,207,42,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,208,0.55,True,0.0,,91,0.5457004112856728,0.45220908522605896,0.350660167297437,0.1950402439882358,0.11302850395441055,0.021584515000000002,DIAG_NAV,210,avoidance,8.424287401139736,6.311883011353865,0.0,36.0,19.02475507134346,2.9485005903989077,2.9485005903989077,8.424287401139736,42,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,211
42,nav_dryrun,dryrun,43,1.4,0.0,43,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,212,43,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,213,0.55,True,0.0,,91,0.5533390326632394,0.45370641350746155,0.36026134191908765,0.19307769074415168,0.11330239474773407,0.018170524,DIAG_NAV,215,avoidance,8.417440131306648,6.484704154543578,0.0,35.0,19.025695533480384,2.946104045957327,2.946104045957327,8.417440131306648,43,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,216
43,nav_dryrun,dryrun,44,1.4,0.0,44,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,217,44,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,218,0.55,True,0.0,,91,0.5541946987311045,0.4542396664619446,0.35496660403045666,0.19922809470064787,0.11215848475694656,0.016129573,DIAG_NAV,220,avoidance,8.446037881076336,6.38939887254822,0.0,35.0,19.021767675879442,2.9561132583767176,2.9561132583767176,8.446037881076336,44,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,221
44,nav_dryrun,dryrun,45,1.4,0.0,45,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,222,45,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,223,0.55,True,0.0,,91,0.5534013915393088,0.45195096731185913,0.3539961421030179,0.1994052494362909,0.1116272434592247,0.013611727,DIAG_NAV,225,avoidance,8.459318913519382,6.371930557854322,0.0,35.0,19.019943546196163,2.960761619731784,2.960761619731784,8.459318913519382,45,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,226
45,nav_dryrun,dryrun,46,1.4,0.0,46,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,227,46,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,228,0.55,True,0.0,,91,0.5556700784299109,0.45180806517601013,0.3566618689131034,0.19900820951680748,0.1124216765165329,0.010846312,DIAG_NAV,230,avoidance,8.439458087086678,6.419913640435862,0.0,35.0,19.022671400614538,2.953810330480337,2.953810330480337,8.439458087086678,46,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,231
46,nav_dryrun,dryrun,47,1.4,0.0,47,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,232,47,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,233,0.55,True,0.0,,91,0.5456261643341609,0.4529397487640381,0.3484358123978789,0.19719035193628195,0.11242762953042984,0.009524936000000001,DIAG_NAV,235,avoidance,8.439309261739254,6.271844623161821,0.0,36.0,19.02269184155051,2.953758241608739,2.953758241608739,8.439309261739254,47,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,236
47,nav_dryrun,dryrun,48,1.4,0.0,48,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,237,48,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,238,0.55,True,0.0,,91,0.5461023424352919,0.45234599709510803,0.3489212553720086,0.19718108706328333,0.11224846541881561,0.031642605000000004,DIAG_NAV,240,avoidance,8.44378836452961,6.280582596696155,0.0,36.0,19.022076643568777,2.9553259275853634,2.9553259275853634,8.44378836452961,48,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,241
48,nav_dryrun,dryrun,49,1.4,0.0,49,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,242,49,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,243,0.55,True,0.0,,91,0.5547619395785861,0.45614007115364075,0.3565026431126929,0.1982592964658932,0.11174438148736954,0.030754626,DIAG_NAV,245,avoidance,8.456390462815762,6.417047576028472,0.0,35.0,19.02034576446326,2.9597366619855165,2.9597366619855165,8.456390462815762,49,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,246
49,nav_dryrun,dryrun,50,1.4,0.0,50,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,247,50,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,248,0.55,True,0.0,,91,0.5543245938089159,0.45618176460266113,0.3561946455042919,0.19812994830462397,0.11211951822042465,0.026525933,DIAG_NAV,250,avoidance,8.447012044489384,6.411503619077255,0.0,35.0,19.021633876010664,2.9564542155712843,2.9564542155712843,8.447012044489384,50,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,251
50,nav_dryrun,dryrun,51,1.4,0.0,51,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,252,51,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,253,0.55,True,0.0,,91,0.5538183707329962,0.4522444009780884,0.3560776573324961,0.19774071340050017,0.11261039972305298,0.052250255,DIAG_NAV,255,avoidance,8.434740006923676,6.409397831984929,0.0,35.0,19.023319421776318,2.9521590024232864,2.9521590024232864,8.434740006923676,51,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,256
51,nav_dryrun,dryrun,52,1.4,0.0,52,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,257,52,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,258,0.55,True,0.0,,91,0.5553984310891893,0.45468664169311523,0.3646564681807326,0.1907419629084567,0.1121550053358078,0.068892019,DIAG_NAV,260,avoidance,8.446124866604805,6.563816427253187,0.0,35.0,19.021755728548904,2.9561437033116817,2.9561437033116817,8.446124866604805,52,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,261
52,nav_dryrun,dryrun,53,1.4,0.0,53,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,262,53,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,263,0.55,True,0.0,,91,0.5547991933094131,0.455077201128006,0.36298395439775455,0.19181523891165853,0.11223036050796509,0.019959499000000002,DIAG_NAV,265,avoidance,8.444240987300873,6.533711179159582,0.0,35.0,19.022014476516933,2.9554843455553055,2.9554843455553055,8.444240987300873,53,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,266
53,nav_dryrun,dryrun,54,1.4,0.0,54,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,267,54,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,268,0.55,True,0.0,,91,0.5562869161367416,0.4564918577671051,0.35800884405569156,0.19827807208105008,0.1128246858716011,0.018648549,DIAG_NAV,270,avoidance,8.429382853209972,6.444159193002448,0.0,35.0,19.024055218721994,2.9502839986234903,2.9502839986234903,8.429382853209972,54,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,271
54,nav_dryrun,dryrun,55,1.4,0.0,55,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,272,55,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,273,0.55,True,0.0,,91,0.5549199291401439,0.4561585783958435,0.3588611236403858,0.19605880549975804,0.11160663515329361,0.041462182,DIAG_NAV,275,avoidance,8.45983412116766,6.459500225526945,0.0,35.0,19.019872783206292,2.960941942408681,2.960941942408681,8.45983412116766,55,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,276
55,nav_dryrun,dryrun,56,1.4,0.0,56,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,277,56,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,278,0.55,True,0.0,,91,0.5571971386671066,0.4534471333026886,0.3603415350828852,0.19685560358422144,0.11207521706819534,0.06415846700000001,DIAG_NAV,280,avoidance,8.448119573295116,6.486147631491933,0.0,35.0,19.021481758607273,2.9568418506532907,2.9568418506532907,8.448119573295116,56,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,281
56,nav_dryrun,dryrun,57,1.4,0.0,57,8.2,nav_dryrun,0.0,0.0,8.2,0.0,-1.0,18.0,dryrun,DIAG_STEER,282,57,7.5,nav_dryrun,7.5,False,0.0,dryrun,DIAG_MOTOR,283,0.55,True,0.0,,91,0.5562230315473344,0.4544917345046997,0.37618020477430253,0.1800428267730319,0.1125500425696373,0.011263691000000001,DIAG_NAV,285,avoidance,8.436248935759068,6.771243685937446,0.0,35.0,19.023112172687032,2.9526871275156736,2.9526871275156736,8.436248935759068,57,0.0,0.0,nav_dryrun,dryrun,0.0,0.0,0.0,0.0,DIAG_POSE,286
